study_hours,break_time,sleep_hours,focus_score,previous_score,course,difficulty,goal_type,energy_level,time_of_day,distraction,day,target
6.209784059568029,0.8769482460361739,8.032156811771197,3.953374007272587,49.302497003664655,mathematics,low,revision,medium,afternoon,medium,monday,Pomodoro
1.3361336987429298,1.6452011213193165,6.161143848467577,2.143544613866963,71.33459560328826,machine learning,low,exam,medium,morning,medium,sunday,Pomodoro
7.295609896904745,0.2767061848356027,4.796472533457819,9.72583180402743,82.87570625079712,dbms,low,exam,high,afternoon,high,tuesday,Pomodoro
1.2281566907391177,1.9252968293558501,9.015880723073234,7.263767854843282,64.53717666485619,algorithms,medium,concept,high,afternoon,medium,saturday,Spaced Repetition
7.431363304300561,1.3203947534354625,5.679603381675657,9.593787525968747,84.2738150017461,general,low,revision,low,night,high,thursday,Pomodoro
6.094334894446686,0.31729289528498206,4.7209878868338535,4.076917000447614,45.50794394880651,general,low,revision,medium,afternoon,low,thursday,Pomodoro
1.1544499164857522,1.5267288460078219,8.841477862304677,4.116738889804607,67.88042877637669,machine learning,high,revision,medium,afternoon,low,thursday,Pomodoro
1.4077360879484007,0.7492252292529424,7.755159494285419,5.528226327220789,91.38939047129934,machine learning,low,exam,medium,morning,high,thursday,Pomodoro
6.179267600882911,0.7763398524130438,7.859729310654119,5.12427601442365,72.7370073589561,machine learning,high,concept,low,afternoon,high,thursday,Pomodoro
3.465650145890204,0.42917823941674826,6.263554499367855,1.3506681907921028,77.09523306027357,general,low,revision,low,afternoon,medium,tuesday,Pomodoro
4.06562112517816,0.5213890564718062,6.976224725760437,7.2360132282274545,60.900196267191845,dbms,low,concept,low,morning,low,thursday,Spaced Repetition
2.5969558940175053,1.5012295032817167,8.841008435603584,9.91454627800606,64.75706061468559,algorithms,low,exam,high,afternoon,low,thursday,Spaced Repetition
4.860946246375165,1.5017421355829947,8.527257244508094,1.9281148195233935,94.15317440077399,mathematics,low,revision,low,night,high,monday,Pomodoro
1.4813676707263201,1.9170829937663967,9.082858864573538,4.194146714164486,97.40805310758738,general,high,revision,high,morning,low,wednesday,Pomodoro
6.421968333110071,1.1074061046916015,5.2763673701453735,9.515750885935212,86.87776302827216,general,low,concept,medium,afternoon,high,saturday,Pomodoro
5.94575994091362,0.883061002746754,9.326225096549798,4.158235112968708,47.02402098565635,operating systems,low,revision,medium,morning,low,saturday,Pomodoro
1.756961255034977,1.40193826291824,4.436578038185161,8.396740533613206,82.37453362938977,machine learning,low,concept,medium,night,low,monday,Spaced Repetition
8.923239717745751,0.4733703873641575,9.446162238091278,6.326998649391559,61.01309480201881,operating systems,high,exam,low,afternoon,high,wednesday,Pomodoro
3.2385173898725914,0.660505058038197,6.606711066929628,3.2831395648582484,64.31212520688503,mathematics,medium,concept,high,morning,high,monday,Pomodoro
7.129354843872181,0.47501294258493987,6.4013373572321495,5.299434017922049,44.97347930160125,data structures,medium,concept,medium,afternoon,low,friday,Spaced Repetition
1.388439207555185,1.7822862273961422,7.166206654517799,9.936683165073703,44.42779388412393,dbms,high,concept,medium,night,low,monday,Deep Work
7.261738200861554,0.9090821295355465,7.765348480504381,6.258828807307902,94.06948062945935,data structures,high,revision,medium,morning,medium,thursday,Spaced Repetition
6.821635255018514,0.7765367679797444,5.376368474229698,3.3934413246781507,61.620705712316095,operating systems,high,revision,high,morning,low,monday,Pomodoro
4.700860487849676,1.205563764046597,5.625745855090779,2.1986661270137473,44.57202277594979,mathematics,medium,exam,low,night,low,tuesday,Pomodoro
1.7447357803177552,1.7533229718515855,7.3095272352644205,2.4835083502330084,64.67530699512214,mathematics,low,revision,high,morning,high,friday,Pomodoro
7.7462046997846485,0.7859788979577182,8.974985324239086,6.121733222491729,43.81070977540008,data structures,high,exam,low,morning,high,saturday,Pomodoro
7.225429574520208,1.0686925500589262,8.499464496819831,9.218491770318785,75.10897193952832,machine learning,low,revision,medium,night,low,friday,Spaced Repetition
5.054897217790842,0.25831883030298997,9.724306163552335,6.455571710057921,53.71856833020776,data structures,medium,exam,high,afternoon,medium,tuesday,Spaced Repetition
5.2858962711011275,1.6627429801250024,5.846663438626297,8.347471616917561,98.07842592638939,mathematics,medium,exam,low,morning,high,sunday,Pomodoro
4.784822007985676,1.569336527888619,7.836168141845454,8.245402007674258,94.18906352059759,operating systems,medium,revision,medium,afternoon,medium,saturday,Spaced Repetition
5.993340476880031,0.18200418210266056,8.35838219590137,5.927016762092004,67.05462684496626,general,medium,exam,medium,night,low,friday,Spaced Repetition
8.168245981064896,0.9186936158923449,9.052548490112258,7.920259671838577,43.97415867111195,machine learning,medium,revision,low,afternoon,low,saturday,Spaced Repetition
6.700607688850532,0.48029123755638614,4.455179968651984,2.159917497195843,47.682750337466345,general,high,revision,low,night,high,wednesday,Pomodoro
7.008019646689244,0.3446397424032597,5.153734112852025,1.3678175463983098,50.136103784329876,operating systems,medium,concept,medium,morning,medium,monday,Pomodoro
5.809811533592707,0.7119829685439722,9.365303577375554,2.158735584696795,59.80597079860932,dbms,low,revision,low,night,low,saturday,Pomodoro
1.7358312875398472,1.7471572482135544,9.525234403190879,1.5497016386937736,56.61265888883222,data structures,low,exam,low,night,high,sunday,Pomodoro
9.316375831966898,0.47223306623480865,8.559732453625514,5.781391785761806,83.23096368348789,algorithms,medium,exam,high,night,high,sunday,Pomodoro
8.599966053702659,1.4992324640171748,4.182832916401565,8.80493482967251,61.248800247587525,dbms,high,concept,high,morning,medium,sunday,Spaced Repetition
3.8987124902486046,0.4228960139930893,5.964984113067488,2.077859186373261,93.4316368443937,operating systems,low,revision,high,morning,low,tuesday,Pomodoro
1.7822825927868133,1.0742130836370956,7.521046708125275,7.70895526765897,65.89957277378076,dbms,medium,concept,low,afternoon,medium,tuesday,Spaced Repetition
3.199178399181891,0.9964953956978804,5.982090887685484,9.40322641383887,40.45206178804448,machine learning,medium,revision,high,afternoon,high,saturday,Pomodoro
3.565856518244624,0.34674719058950965,9.380592547758551,1.7221037109547799,71.47068337421528,machine learning,high,revision,medium,night,high,saturday,Pomodoro
9.775604466506282,0.9814975585175689,8.337376579730654,8.387753258380172,83.10743625019322,dbms,medium,exam,low,morning,medium,tuesday,Spaced Repetition
3.913113127638193,0.8508728772328336,7.04566227210673,3.181687591735722,46.89020948435221,algorithms,medium,revision,low,afternoon,high,sunday,Pomodoro
5.330260916693358,1.0651788651031717,4.310941220934561,4.029438503745285,48.064880616338456,general,medium,revision,low,afternoon,low,sunday,Pomodoro
7.133524500015364,1.520455719779373,7.573832443647065,5.244185696951425,64.71045484883611,mathematics,high,concept,low,afternoon,medium,saturday,Spaced Repetition
9.396442603899592,1.9818589529147812,5.230010860319424,4.413057264674204,95.58696541538268,mathematics,low,exam,low,morning,medium,thursday,Pomodoro
2.4729034857913406,0.3285315958619859,8.887448321388293,6.986774986265801,71.38392548614716,operating systems,low,concept,medium,morning,medium,sunday,Spaced Repetition
7.424042093697934,1.7993348905843463,7.744609265091025,5.858029557231697,66.32468052330034,data structures,low,concept,low,night,high,tuesday,Pomodoro
5.891975750025898,1.8129442219290939,7.745427975483953,2.0520823663752767,96.3899274168085,general,high,revision,high,night,low,monday,Pomodoro
5.801149827786894,1.7877851661019153,8.731583267347185,2.365073917594761,58.70332406773289,machine learning,high,exam,low,afternoon,medium,tuesday,Pomodoro
7.862128171666215,1.753531273523499,6.052490492295445,8.391315742048116,46.63790421731243,operating systems,low,exam,low,morning,low,sunday,Spaced Repetition
4.6805965937694385,1.5437639611964902,4.073218433908267,6.385984310847043,73.93050083937842,algorithms,high,exam,low,night,medium,tuesday,Spaced Repetition
4.082718314606891,0.45470196605997404,6.541581174522897,3.591366548281535,76.89701578915927,algorithms,low,revision,medium,morning,low,sunday,Pomodoro
7.534860274561607,1.1859258105176431,4.613275985351198,9.268754700346719,87.4050782274452,machine learning,high,revision,low,night,medium,monday,Spaced Repetition
4.817176041721474,1.4728884712494457,9.60620208861409,9.330116616160987,67.05036228424792,mathematics,low,concept,medium,afternoon,medium,sunday,Spaced Repetition
9.28757694355635,1.7397927241242566,7.113028342756433,6.321478921704363,63.94016223220781,data structures,low,concept,medium,morning,low,tuesday,Spaced Repetition
4.001492545220298,0.7963373871818866,7.2243736176275375,9.278700547714845,60.780759661957674,algorithms,high,revision,high,morning,high,wednesday,Deep Work
5.07195564519424,0.2817140407595997,5.05832191903734,5.4853099546553175,65.13552697027288,data structures,low,concept,high,night,medium,tuesday,Spaced Repetition
1.1178501092950026,1.3270747440334212,5.068215801218509,9.649632857225097,48.91976366518678,mathematics,medium,exam,low,morning,high,monday,Pomodoro
3.789432336417498,0.7946362309151958,6.560733432020497,8.198038198668424,60.96321994295998,mathematics,low,concept,low,morning,medium,wednesday,Spaced Repetition
1.5913777548551713,1.5510552333900212,6.7197330084881655,5.7195124239482205,66.44576481629369,algorithms,medium,revision,high,night,low,friday,Spaced Repetition
1.679530274235003,1.5064924414949017,5.633811128321796,9.076873688369957,71.59470799955763,data structures,high,exam,medium,night,low,monday,Spaced Repetition
5.9655033573340575,0.5077771280866086,5.176678598160716,5.549570911954304,75.70293878202523,data structures,high,concept,high,night,low,thursday,Spaced Repetition
3.1436450294205387,0.19888278551869032,5.459033145996725,7.500402386700932,91.34178808637714,dbms,low,revision,low,afternoon,high,sunday,Pomodoro
9.067022366690077,0.02600384702147207,4.513051185126809,2.870976296314246,41.59193223242918,machine learning,high,concept,medium,afternoon,low,sunday,Pomodoro
6.62285143938926,0.6717317142996702,8.950643988535958,4.267532909755815,42.05368664923175,operating systems,low,concept,medium,afternoon,low,tuesday,Pomodoro
8.749612179772495,0.4390210501619174,9.84728359119322,8.017828973092277,46.85427555522381,mathematics,high,revision,high,morning,medium,wednesday,Deep Work
5.612118902937294,1.483373888457331,8.193075118965426,4.622950392372825,53.08138644964519,mathematics,high,revision,medium,afternoon,low,friday,Pomodoro
7.220996718486889,1.3663677128909628,8.935503255470044,5.76695510789573,88.90326570414743,data structures,medium,revision,low,morning,low,saturday,Spaced Repetition
8.467676233364815,0.4128425435212064,4.065974971950883,2.2319706706192655,94.0011185108863,mathematics,high,revision,low,morning,low,sunday,Pomodoro
6.159649403614606,1.6762139263565916,6.426289009294146,7.938202393578434,65.32216357304124,algorithms,medium,exam,low,night,low,thursday,Spaced Repetition
7.938873329819307,0.13649941070818317,9.022473944218177,4.934740567215192,94.93082063751484,dbms,high,exam,medium,afternoon,high,sunday,Pomodoro
9.586782428856697,0.27000255484241387,6.9025296515944765,3.429201001529754,72.39056673449161,dbms,high,exam,low,afternoon,high,friday,Pomodoro
2.392049267949126,1.2466651018099815,6.8454238522022175,4.099453588398099,61.09240966805313,data structures,low,concept,high,afternoon,low,sunday,Pomodoro
1.6834006933265988,0.15553068815791415,4.01403634375467,9.709294493863778,40.315229113503094,operating systems,high,concept,high,night,low,friday,Spaced Repetition
8.110122029126705,1.3811204648912812,7.127804004481416,1.7803469067596525,97.49024758023583,dbms,high,concept,low,night,low,saturday,Pomodoro
6.735084218105381,1.9611536003599763,9.420182875816149,6.81998427205447,81.59051268741548,data structures,low,revision,high,afternoon,high,monday,Pomodoro
2.6251781061460018,1.135890461105259,9.49292978552825,1.3055138072721895,81.84521603481039,data structures,high,revision,high,night,low,tuesday,Pomodoro
7.7055809330819836,0.10976522929294985,6.730862110216936,5.701911184640521,78.67279903754934,mathematics,high,exam,low,afternoon,high,friday,Pomodoro
5.772386193714102,0.8820643234963232,6.426912698091105,6.151849834901191,88.23861876405385,operating systems,low,revision,low,morning,medium,monday,Spaced Repetition
8.973799734125684,1.2317263763646091,5.397756848521802,1.2196070340088423,92.2059324340558,mathematics,high,exam,low,morning,medium,wednesday,Pomodoro
1.6302673517272392,0.01897086725699615,4.316103015863371,1.7968906955225634,42.25580639237565,operating systems,low,exam,low,afternoon,medium,monday,Pomodoro
4.027334174455799,1.0450383832690462,8.393630843107871,1.030117258386813,68.03864599225915,mathematics,medium,revision,medium,morning,low,monday,Pomodoro
9.193051918517808,0.09020135444064636,4.656805592074691,4.524671264863205,47.46625343781138,dbms,medium,concept,low,morning,high,thursday,Pomodoro
4.758226982064356,1.7582366151243294,9.668392133748462,5.2066136012488275,76.80468335264246,data structures,high,exam,low,night,medium,friday,Spaced Repetition
8.475782659755621,0.24067752406999188,4.281672142886878,4.456815503421247,42.203916245596815,algorithms,high,revision,low,morning,medium,sunday,Pomodoro
2.9469162073289814,1.0365207333527844,7.583644434582046,5.725283507742414,55.61400207709164,dbms,medium,revision,medium,morning,high,wednesday,Pomodoro
3.019965146529946,0.44763522964524616,7.221846537360482,6.336459413575328,74.80517247026867,algorithms,high,concept,high,night,low,monday,Spaced Repetition
1.399389971799131,1.7043870666940155,4.21253421051127,3.961462288328839,95.89536929913939,dbms,high,revision,high,afternoon,high,friday,Pomodoro
1.4390522350585577,1.0652050388015242,9.7727318355523,1.985219740490085,93.66879585808405,machine learning,low,revision,low,afternoon,low,wednesday,Pomodoro
8.422128693326343,0.6956184158043861,8.068096915354381,6.09158767596212,56.02169621016528,mathematics,high,concept,high,night,low,friday,Spaced Repetition
8.533119955273047,1.3949429233385673,8.080844630561803,6.5675024039366585,85.16299837345846,general,low,exam,low,afternoon,low,wednesday,Spaced Repetition
8.911643322053184,0.010290341509429535,8.9196815044486,3.0576264537243114,94.52207855616207,algorithms,medium,revision,low,morning,high,tuesday,Pomodoro
3.583343198574215,1.2338538367514844,9.88711706816454,6.686321743150016,55.588214863849586,operating systems,low,exam,medium,night,medium,sunday,Spaced Repetition
5.871399208084992,1.9259840077179893,6.051232996232116,6.693597038205533,95.92168633060105,machine learning,medium,revision,high,morning,medium,monday,Spaced Repetition
6.23953414158646,0.6917661139059135,7.725493106604863,1.4116783043126158,92.29220836914257,general,low,exam,high,morning,high,friday,Pomodoro
1.1991119637609753,0.6472204382990825,6.931859142427994,7.933666760270139,80.9977225963903,algorithms,medium,revision,medium,morning,low,wednesday,Spaced Repetition
5.062483218967079,0.32724764238333837,8.768857292499575,7.243140032033398,53.24617676732562,algorithms,high,revision,medium,night,high,wednesday,Deep Work
9.557772060253694,0.30211578356180047,6.594008806255611,9.49254328150839,65.18363901556734,dbms,medium,exam,low,morning,high,wednesday,Pomodoro
4.684006056835387,1.7881984073582688,5.3797276353465175,2.9179423362257495,41.86804497307068,data structures,medium,exam,high,afternoon,low,monday,Pomodoro
1.820480413655725,0.30731607632222535,6.7221618076316965,5.773189543554305,41.071713548699165,machine learning,low,revision,high,afternoon,high,monday,Pomodoro
1.011086516497833,1.196654530244854,7.643838689576027,3.2278596004303766,73.50476035499187,data structures,high,revision,medium,morning,low,tuesday,Pomodoro
8.178031905734693,0.6207239178471475,6.731320894490807,1.1045848591729057,44.34681326767353,algorithms,medium,exam,high,afternoon,high,friday,Pomodoro
7.81353340850101,1.905297276077434,9.44691191790784,7.518567773137707,84.94969834607699,data structures,low,concept,medium,night,medium,saturday,Spaced Repetition
2.893146219269817,0.6920331352896791,8.654828414757736,9.471137538091478,44.34497632878049,data structures,low,concept,low,afternoon,low,friday,Spaced Repetition
1.7072064743951867,0.7938465524031921,4.796294524258363,6.107867634354023,81.36789814823595,algorithms,high,revision,medium,night,low,wednesday,Spaced Repetition
2.1179797005525343,1.7924426053700766,7.5686598242616165,6.5494412367622665,76.77665049193635,data structures,medium,revision,medium,afternoon,high,wednesday,Pomodoro
5.359586028166365,1.3216402365985014,7.31800871555175,6.37728276368737,87.02995320513172,general,high,exam,low,afternoon,medium,wednesday,Spaced Repetition
7.523439038866525,1.1865572966203575,7.901765115240723,5.313510357186585,76.94452131653458,dbms,high,revision,low,morning,high,friday,Pomodoro
6.928369979507885,0.996391432906278,7.332181305625787,7.472816004450374,53.70728447987793,data structures,high,exam,medium,night,high,friday,Deep Work
1.6497856808125826,0.06130500441161213,5.546097331067282,5.163606610653847,92.09635032450282,general,medium,concept,low,afternoon,medium,monday,Spaced Repetition
5.625962810278525,1.1761167561801584,4.176366674539044,4.559636528641137,76.37132281367029,general,medium,revision,high,afternoon,high,wednesday,Pomodoro
3.5546907574778053,0.7183020593324629,6.303082911206777,5.192315263182237,90.15988382687257,data structures,high,revision,medium,night,medium,thursday,Spaced Repetition
4.3556377347004105,1.0252304104116103,6.478187047886182,1.622195075679575,66.2299233290096,mathematics,low,exam,medium,night,low,thursday,Pomodoro
6.3365576629143465,0.32704774517004553,6.3464892199105645,9.724710901017588,55.48800596206765,machine learning,low,exam,low,morning,high,sunday,Pomodoro
3.11206634435396,1.7674193393215052,6.652146242697145,3.9780042669025475,66.92665442988418,operating systems,medium,concept,low,morning,high,thursday,Pomodoro
7.360994951969012,0.3340838158018997,5.005715297729906,1.3300428424018866,84.18412090393844,machine learning,low,concept,low,night,high,saturday,Pomodoro
2.8525708903309144,0.22383923879545575,5.618497669101938,1.5137817048038338,71.87017168006193,operating systems,medium,concept,low,night,high,saturday,Pomodoro
2.6200939372545116,0.17711116844648278,4.619853742744094,6.262036303983298,81.29247195199574,operating systems,low,revision,high,night,medium,tuesday,Spaced Repetition
3.908175913632507,1.9461954961406929,7.480673378172808,3.2880212190774394,71.3038027981728,general,medium,exam,medium,morning,medium,tuesday,Pomodoro
7.5960902650720765,0.3247637893246418,5.130094502593609,7.577465273837888,49.36983068753044,mathematics,low,exam,medium,night,medium,monday,Spaced Repetition
8.543037606832993,1.8892284389480465,8.099488169737874,5.474572876075846,77.07083441207283,general,low,exam,low,afternoon,low,monday,Spaced Repetition
2.9410763715794546,1.3177709404653144,6.363186433924951,6.861096793373429,46.39558181847944,operating systems,medium,revision,medium,night,low,monday,Spaced Repetition
4.662171646505835,1.7415069006745183,8.69431290434964,6.10314634888001,84.30695255507959,operating systems,medium,concept,medium,afternoon,medium,wednesday,Spaced Repetition
8.270613477471327,1.5245702695532315,8.786881893151808,4.920249833316397,89.0700529705013,mathematics,medium,exam,low,morning,high,monday,Pomodoro
4.298153813842581,0.7923453832185108,8.172803240139173,4.4970229114331115,66.92161735735183,data structures,low,exam,medium,afternoon,high,wednesday,Pomodoro
2.5159994662844767,1.2851519378943792,8.556065967537196,5.504007782176673,72.5418198987843,algorithms,medium,concept,low,afternoon,low,thursday,Spaced Repetition
2.3409267037317525,1.0532475945379192,5.4764179527879895,5.290259275370433,63.66191942910101,general,medium,revision,medium,night,high,friday,Pomodoro
8.401540769353524,0.8617241830760667,9.380285739040733,1.641522430496475,97.27960180199844,operating systems,high,exam,high,morning,low,saturday,Pomodoro
2.7510249086677088,0.3326632154862843,7.704110544477845,5.707762521236062,80.2057620766565,machine learning,high,exam,medium,afternoon,medium,tuesday,Spaced Repetition
3.453616006601804,0.827098203050703,4.7313165600216855,2.630344145812123,80.86707123789897,algorithms,high,concept,high,night,high,monday,Pomodoro
6.105809976660132,0.5131255674027275,9.777561251425478,5.351910820479323,88.35955298650948,data structures,low,revision,high,night,low,sunday,Spaced Repetition
6.741866852139679,1.0303503406674632,7.561231414738883,8.143694653424646,78.7963548053716,algorithms,low,concept,medium,morning,medium,wednesday,Spaced Repetition
8.024729637194756,0.5496120710962722,8.935685911082071,4.813644282838865,80.05299395748823,algorithms,high,revision,low,night,medium,friday,Pomodoro
2.5121278697037708,1.4737474898883642,9.176782465259372,2.9506582008169806,45.7428733312097,machine learning,high,exam,high,night,medium,monday,Pomodoro
4.518153963149632,1.188952670372346,6.980601153155016,9.890069681933985,48.18638515340399,machine learning,medium,exam,medium,afternoon,low,sunday,Spaced Repetition
7.520651662587563,0.03164218353116488,6.046540146845324,8.368363514073096,76.19316461280233,mathematics,medium,exam,low,afternoon,low,monday,Spaced Repetition
6.36175655370061,0.8023758280779654,6.201736475228804,4.092044272981336,77.0293470037388,machine learning,low,revision,low,night,low,saturday,Pomodoro
6.335307924880804,1.3602638622069028,5.384975134924073,5.111727803923317,51.41949176914407,algorithms,high,revision,medium,morning,high,tuesday,Pomodoro
5.01717116077878,0.6671390989444008,7.482850040300048,1.7989065469699161,97.6999441572888,machine learning,high,exam,low,night,medium,saturday,Pomodoro
4.804202020565706,1.6436128878021736,4.007420078556457,3.707677975179296,98.87418246065823,dbms,medium,concept,high,night,medium,friday,Pomodoro
7.634622025065188,1.5371996095770168,5.4619402963832,7.044025992517335,45.575748662763395,mathematics,medium,exam,low,morning,medium,thursday,Spaced Repetition
7.378702279686788,0.07232076104952423,5.818770135671972,3.368013129197586,61.60818444829114,machine learning,medium,exam,low,morning,low,wednesday,Pomodoro
8.427574974096071,0.5594070769429584,9.654322114613398,8.86002995551463,49.70585268112657,mathematics,high,exam,medium,morning,medium,thursday,Deep Work
9.375356931795245,0.23273279577095218,8.904698250947149,4.4256096412892205,92.67845922670418,mathematics,medium,revision,high,night,medium,monday,Pomodoro
3.902751800617737,0.045787649952240494,4.922746898008187,3.0125299104668013,97.43937327367523,algorithms,medium,concept,medium,morning,low,saturday,Pomodoro
3.823549220746864,1.2127418888667512,4.835188147705179,9.084354645634354,89.75994430847703,operating systems,high,exam,low,afternoon,low,friday,Spaced Repetition
4.307809800623783,0.13634461877098714,4.154871441696922,2.2164966023934047,97.78690669535044,operating systems,low,exam,medium,afternoon,low,thursday,Pomodoro
8.663037737961389,0.0006650122409788128,4.106126857679543,6.4229784745857845,61.887893148671765,general,high,concept,high,afternoon,medium,monday,Spaced Repetition
1.523474159549282,1.9897326343395343,4.346683365978199,7.255317059726979,99.02073551580482,dbms,low,exam,low,morning,medium,saturday,Spaced Repetition
1.9094122990958202,1.3843226833882638,4.373750788780376,5.584799153348108,99.8018112311786,data structures,low,exam,low,afternoon,high,tuesday,Pomodoro
2.1763933906617954,1.7732084304809335,6.698707892927935,2.7516026063868857,62.06556105263738,operating systems,medium,revision,high,morning,low,saturday,Pomodoro
9.674400479341159,0.49716051542988415,4.802822417676932,4.767225594615418,87.42026415160888,machine learning,medium,exam,medium,night,low,monday,Pomodoro
3.911503554203264,1.668606731909535,7.775792836064417,2.789706499977663,43.87700079064517,operating systems,low,exam,low,night,high,friday,Pomodoro
8.599213744656543,0.19616516156848918,6.929446822130669,2.3504379822458583,59.480555613403595,operating systems,medium,exam,low,morning,low,saturday,Pomodoro
4.531543493756271,1.9124443812978966,4.798870025068582,1.9193457669178429,79.52152877244662,data structures,low,revision,low,morning,medium,tuesday,Pomodoro
1.345837140660925,1.803523984270847,6.768864787748405,6.7348132912745236,79.56123533234697,dbms,medium,concept,high,morning,high,friday,Pomodoro
2.3515210073533748,1.4748675374429712,7.073331524876047,7.12205001287518,42.50037403614306,data structures,high,exam,low,morning,high,wednesday,Deep Work
1.108976277113987,1.9130027965989602,8.425050156754041,4.179262676518578,57.792134877259315,dbms,high,exam,high,night,high,wednesday,Pomodoro
4.709178372364944,1.099232087437849,8.98320673842904,1.6184154926644099,65.45781315309328,general,low,exam,low,morning,medium,sunday,Pomodoro
2.851185359759996,0.24277283631881286,7.6900778082332,7.971704025740092,78.63425521246785,algorithms,high,revision,high,afternoon,medium,friday,Deep Work
2.127102133895444,0.9486722198124278,4.683739808285903,5.374139526797859,95.21783087316447,operating systems,medium,exam,medium,night,low,tuesday,Spaced Repetition
3.0215405065946674,0.7443340476750266,6.592461297665176,4.95464490725007,76.77637494967152,mathematics,medium,concept,high,afternoon,low,friday,Pomodoro
3.573161103152441,1.6318938779372345,9.168219978180616,8.618629048212503,95.13559201837327,algorithms,low,concept,medium,morning,medium,saturday,Spaced Repetition
7.5564160944545185,1.5528948929994493,7.936971026086429,2.596858925227362,72.70161513381629,dbms,low,revision,low,morning,medium,tuesday,Pomodoro
2.1855589610910573,1.451959819970591,8.90671197914167,2.9216022967960473,70.35116157710974,operating systems,low,revision,high,morning,low,monday,Pomodoro
